TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates
10,"(7.926727637074327, 41.90767448642425)","(4.467088375817577, 72.54635422035759)"
11,"(8.92301053225779, 40.93233855028925)","(6.538609971436556, 71.88312269073262)"
12,"(6.048568394170356, 38.53654504261971)","(10.151860031091351, 82.40709306887192)"
13,"(5.1659845437137815, 35.38032914194357)","(12.033459312923599, 87.47147584436438)"
14,"(4.973313834682494, 33.97843945680548)","(12.187444692372747, 85.34254403166968)"
15,"(4.916282243444048, 32.25154093549335)","(12.26022214731211, 82.4806583635266)"
16,"(6.277559071707998, 28.330065241506045)","(11.308610818042768, 82.97355238102291)"
17,"(5.634241818132568, 27.357567684099262)","(11.694302339765567, 79.42238992549215)"
18,"(4.863044619422741, 28.72535029307895)","(12.742000032223016, 80.28007680544263)"
19,"(4.883085159133674, 28.571056567894683)","(12.787650698214888, 76.39242473369421)"
20,"(5.545934819757096, 28.89194002132869)","(13.291225053095005, 72.24778865894561)"
21,"(7.325175943365274, 30.385076274564014)","(14.674087686315929, 73.3481926406684)"
22,"(10.643009558602522, 29.626441353808872)","(16.04081240459525, 70.25215390411458)"
23,"(13.465866164615266, 31.022569296985697)","(17.625235350716622, 71.96244170962461)"
24,"(15.864749733201927, 30.09157268733)","(19.079783790603635, 68.77553595716344)"
25,"(16.33478629601126, 31.34413800466857)","(20.008705152124175, 69.87871733935317)"
26,"(17.589773598047394, 30.56320440508136)","(21.55137389403577, 66.86612839519853)"
27,"(19.114764182676264, 29.83775584304842)","(23.117834276203112, 64.52508675681365)"
28,"(19.232458168574524, 31.493529567499504)","(23.72132193011438, 66.48778800341482)"
29,"(19.634693224138154, 30.37893926608213)","(24.714465308768357, 63.815887454137524)"
55,"(17.287284672175954, 28.695966259652053)","(18.945416277137973, 75.36148989022826)"
57,"(14.223776284027654, 28.830867615746804)","(19.825038913764416, 76.81103600854652)"
58,"(18.589967403421362, 29.198745355983895)","(22.66694810337936, 76.25676528549748)"
102,"(19.68149428660928, 29.413581073345995)","(25.237669580077483, 67.10952790604408)"
103,"(20.20703828940581, 28.73160731540289)","(25.84519577059521, 66.4308268562001)"
104,"(20.291439047744316, 28.19832326682207)","(26.226557812189693, 65.78101061053262)"
105,"(19.99570327537028, 29.047036225291485)","(25.655961260129757, 67.75573250249677)"
106,"(19.939380892322472, 28.639636825632955)","(25.86004085017323, 66.58218320171292)"
107,"(19.917031519129782, 28.222684704900594)","(26.24109685373058, 65.62556558104093)"
108,"(19.746039972363786, 29.090545482036273)","(26.027917491128797, 67.33739146474336)"
109,"(19.875934170584994, 28.570957952959187)","(26.226552559580213, 66.61721047238082)"
110,"(19.87721073864622, 28.071919567700526)","(26.23215312054959, 66.04917721467149)"
111,"(19.879077245528787, 28.026677257423632)","(26.236188488003382, 65.59888545215267)"
112,"(19.57886518356156, 29.333827388792567)","(25.90282597479165, 67.75501270618166)"
113,"(19.746028351493013, 29.459544445258086)","(26.10406979895733, 67.46411632495672)"
114,"(19.729781483112703, 29.740600422199645)","(26.32372365196596, 67.00516658899889)"
115,"(19.721185232377174, 29.929883886220022)","(26.683590598672897, 66.63055447255138)"
116,"(19.84751609247457, 29.958939557321546)","(27.07140608975833, 66.359036043335)"
117,"(19.94693695273065, 29.940676367783418)","(27.241832824594955, 66.11039403499692)"
118,"(19.96788747025885, 29.89503735669049)","(27.273122583796393, 65.87850698049292)"
119,"(19.974558639260426, 29.878738689947777)","(27.282973837363166, 65.77157088589142)"
120,"(19.974979820347716, 29.87611198707802)","(27.283662982948343, 65.73372150719344)"
121,"(19.974970707690876, 29.873487840275185)","(27.283727304430077, 65.71724171977385)"
122,"(19.97495860635269, 29.872198890086626)","(27.28374951033851, 65.70990670786144)"
123,"(19.97495497804457, 29.871018711720073)","(27.283774612991284, 65.70361852088129)"
124,"(19.974954046157368, 29.870920084083163)","(27.283776323105073, 65.70307579845526)"
125,"(19.974953894619404, 29.870904268886445)","(27.283776601194152, 65.70298444498515)"
126,"(19.974953798990352, 29.870893938816224)","(27.28377677668421, 65.70293209880768)"
127,"(19.97495926476171, 29.87089052782322)","(27.28378178725299, 65.70291498094353)"
128,"(19.97495926476171, 29.87089052782322)","(27.28378178725299, 65.70291498094353)"
129,"(19.83772480365154, 29.87064529524943)","(27.417223092583047, 65.70218604993461)"
130,"(19.72610408444303, 29.87049971667267)","(27.534526404499296, 65.701761596554)"
131,"(20.000312954775193, 29.194643588850408)","(26.40628593712229, 66.04352721094918)"
132,"(20.213170275398582, 28.605407356321862)","(25.33854039658289, 66.4948083200597)"
133,"(20.062000853818702, 28.60512414826689)","(25.469499523714408, 66.49398583948914)"
134,"(19.968019716968413, 28.604935268330177)","(25.556325593476405, 66.49344153654492)"
135,"(20.283668271662858, 28.60478407222975)","(25.73897234960525, 66.49345885890192)"
144,"(20.553479269099476, 28.183701155354097)","(20.884877288415275, 74.35771885624881)"
145,"(15.000512526813486, 27.807937430372768)","(18.562199204546918, 76.14044774439581)"
