TimeStamp,Standard Deviation between Vehicle Coordinates,Mean Position of Vehicle Coordinates,Position of Vehicles
0,"(None, None)","(None, None)",[]
1,"(None, None)","(None, None)",[]
2,"(None, None)","(None, None)",[]
3,"(None, None)","(None, None)",[]
4,"(None, None)","(None, None)",[]
5,"(None, None)","(None, None)",[]
6,"(None, None)","(None, None)",[]
7,"(None, None)","(None, None)",[]
8,"(None, None)","(None, None)",[]
9,"(None, None)","(None, None)",[]
10,"(7.926727637074327, 41.90767448642425)","(4.467088375817577, 72.54635422035759)","[(1.0600000000000005, 73.22614107883818), (13.52772591857001, 114.11), (-1.1864607911172795, 30.302921582234557)]"
11,"(8.92301053225779, 40.93233855028925)","(6.538609971436556, 71.88312269073262)","[(2.7253582328232007, 73.21508475862026), (16.73465381441636, 112.1332234215763), (0.15581786707010714, 30.301059892001287)]"
12,"(6.048568394170356, 38.53654504261971)","(10.151860031091351, 82.40709306887192)","[(6.775088099665007, 76.38833136531342), (16.746116177184877, 108.83370042463879), (13.52772591857001, 114.11), (3.5585099289455107, 30.296340485535442)]"
13,"(5.1659845437137815, 35.38032914194357)","(12.033459312923599, 87.47147584436438)","[(7.019906598060508, 76.38670601428673), (16.763340337959132, 103.87560271605011), (16.732711655610036, 112.69228770653973), (13.52772591857001, 114.11), (6.12361205441831, 30.292782784945327)]"
14,"(4.973313834682494, 33.97843945680548)","(12.187444692372747, 85.34254403166968)","[(7.027313085661373, 76.38665684258481), (16.7940199556253, 96.95915826316457), (16.73721483854717, 111.39601433249358), (13.536174908119524, 111.6791050067544), (6.842500673910368, 30.291785713351025)]"
15,"(4.916282243444048, 32.25154093549335)","(12.26022214731211, 82.4806583635266)","[(7.028181558738337, 76.38665107678845), (16.85777085352359, 88.67951039862353), (16.741718021484303, 110.09974095844743), (13.552625656519186, 106.94598968147999), (7.120814646295133, 30.291399702293624)]"
16,"(6.277559071707998, 28.330065241506045)","(11.308610818042768, 82.97355238102291)","[(7.028693753133879, 76.38664767632774), (1.0600000000000005, 73.22614107883818), (16.891851973220902, 78.88901141639344), (16.748514130139952, 108.14343253828571), (16.777609087358943, 99.76824128167574), (13.52772591857001, 114.11), (7.125880863875685, 30.29139267563956)]"
17,"(5.634241818132568, 27.357567684099262)","(11.694302339765567, 79.42238992549215)","[(7.028854834484724, 76.38664660690797), (3.6385670757992186, 73.2090219613225), (16.929295416041835, 67.72016732923547), (16.75747546726939, 105.56384763602559), (16.844792753887184, 90.36504108890193), (13.533597665687862, 112.42061447209213), (7.127533165188759, 30.291390383959516)]"
18,"(4.863044619422741, 28.72535029307895)","(12.742000032223016, 80.28007680544263)","[(7.028986194402348, 76.38664573480894), (6.9244107992653765, 73.1872072312082), (16.93, 55.328299144153796), (16.77492985649652, 100.5394770227874), (16.888260313099227, 79.96035232125908), (16.733597665687864, 112.43724337699386), (13.52772591857001, 114.11), (7.12808951026278, 30.29138961232973)]"
19,"(4.883085159133674, 28.571056567894683)","(12.787650698214888, 76.39242473369421)","[(7.028986194402348, 76.38664573480894), (7.006729631651951, 73.18666071613842), (17.110471567687515, 47.44924087925341), (16.82364197015473, 93.1119991261547), (16.92613266623885, 68.6635704133262), (16.742573180192935, 109.85357741589141), (13.534377259295773, 112.19631425404455), (7.128293116095004, 30.291389329936067)]"
20,"(5.545934819757096, 28.89194002132869)","(13.291225053095005, 72.24778865894561)","[(7.028986194402348, 76.38664573480894), (7.006729631651951, 73.18666071613842), (21.06405293801943, 39.03035144117992), (16.87766190496526, 83.12170606179049), (16.93, 58.845563357306766), (16.759699380330265, 104.92367837635967), (13.534377259295773, 112.19631425404455), (7.128293116095004, 30.291389329936067)]"
21,"(7.325175943365274, 30.385076274564014)","(14.674087686315929, 73.3481926406684)","[(7.028986194402348, 76.38664573480894), (7.006729631651951, 73.18666071613842), (30.00140619250697, 36.745242957205626), (16.91422715148081, 72.21481538686673), (16.93, 49.35247553994825), (16.78749523007787, 97.80655699363678), (16.741925742058402, 110.0399471074748), (13.52772591857001, 114.11), (7.128293116095004, 30.291389329936067)]"
22,"(10.643009558602522, 29.626441353808872)","(16.04081240459525, 70.25215390411458)","[(7.028986194402348, 76.38664573480894), (7.006729631651951, 73.18666071613842), (41.603646575242585, 36.804220739439245), (16.93, 61.03037185093984), (17.546553835720815, 44.40280700679543), (16.833040719897273, 91.89133650334156), (16.754328559176173, 106.46970760857286), (13.535733009171096, 111.80624564705882), (7.128293116095004, 30.291389329936067)]"
23,"(13.465866164615266, 31.022569296985697)","(17.625235350716622, 71.96244170962461)","[(7.028986194402348, 76.38664573480894), (7.006729631651951, 73.18666071613842), (53.20255487038153, 36.86318158363933), (16.93, 54.34818157908712), (21.039371744413273, 39.04505513098784), (16.87619774067794, 83.55844535206548), (16.775512439022783, 100.37177648129959), (16.736981851951374, 111.46308118828333), (13.52772591857001, 114.11), (7.128293116095004, 30.291389329936067)]"
24,"(15.864749733201927, 30.09157268733)","(19.079783790603635, 68.77553595716344)","[(7.028986194402348, 76.38664573480894), (7.006729631651951, 73.18666071613842), (60.301463165520474, 36.89926753374171), (17.15032995402099, 47.17079356064209), (28.16097062556159, 36.85053152743751), (16.909843307062765, 73.5224535504211), (16.832160446892228, 92.00566195987165), (16.74652022396578, 108.71739267270723), (13.532541240863203, 112.72456298592965), (7.128293116095004, 30.291389329936067)]"
25,"(16.33478629601126, 31.34413800466857)","(20.008705152124175, 69.87871733935317)","[(7.028986194402348, 76.38664573480894), (7.006729631651951, 73.18666071613842), (62.90037146065942, 36.912478589746364), (19.615802858974092, 40.23793773400317), (35.57959075574763, 36.773598597459326), (16.93, 62.43261961671136), (16.882202075500057, 81.76743805083989), (16.76351342090221, 103.82577955457785), (16.732541240863206, 112.74134280866349), (13.52772591857001, 114.11), (7.128293116095004, 30.291389329936067)]"
26,"(17.589773598047394, 30.56320440508136)","(21.55137389403577, 66.86612839519853)","[(7.028986194402348, 76.38664573480894), (7.006729631651951, 73.18666071613842), (63.157054606483776, 36.913783389696896), (26.78176527853418, 37.0389618594792), (45.05053700805362, 36.82174235135413), (16.93, 52.78861330450347), (16.91736082293743, 71.28008595809264), (16.793483763875866, 97.02879616662187), (16.73740675255342, 111.34077051498042), (13.533495659805858, 112.44996302157175), (7.128293116095004, 30.291389329936067)]"
27,"(19.114764182676264, 29.83775584304842)","(23.117834276203112, 64.52508675681365)","[(7.028986194402348, 76.38664573480894), (7.0081522193703245, 73.18665127157266), (63.34441005686607, 36.91473577549382), (36.40307747125282, 36.77778463555), (52.10405068607837, 36.85759754655448), (17.22748236386076, 46.63181334542343), (16.93, 61.24206199423483), (16.838888356958538, 91.13187464000973), (16.74934091354414, 107.90543702979451), (13.533495659805858, 112.44996302157175), (7.128293116095004, 30.291389329936067)]"
28,"(19.232458168574524, 31.493529567499504)","(23.72132193011438, 66.48778800341482)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.37619900828408, 36.914897368582075), (43.55651941240384, 36.81414779706955), (54.8260423728631, 36.871434273570046), (20.895107144668216, 39.13099999892106), (16.93, 55.67835543239898), (16.875624757419747, 83.72935807250992), (16.76890777694108, 102.27297563767488), (16.733495659805858, 112.46660649874234), (13.52772591857001, 114.11), (7.128293116095004, 30.291389329936067)]"
29,"(19.634693224138154, 30.37893926608213)","(24.714465308768357, 63.815887454137524)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.37799943367597, 36.91490652070211), (46.209961353554846, 36.82763606449139), (55.61758279201459, 33.67535625254342), (29.27259152070489, 36.741538166442446), (16.93, 51.038296486469164), (16.907844535803395, 74.1186584632159), (16.815988200575216, 94.10603245029395), (16.740427843978054, 110.47112776917427), (13.534946914496693, 112.03241631480864), (7.128293116095004, 30.291389329936067)]"
30,"(20.624052835801205, 28.992338002476565)","(25.834075475636993, 61.40947459097131)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.37860524385691, 36.91490960022294), (50.97995171652183, 36.85188340324694), (57.903697069937536, 33.686977279655146), (35.10277049446483, 36.771174772352545), (17.382586210149054, 45.54827098262069), (16.93, 65.07614022309029), (16.874442082893925, 84.08213298821168), (16.7552021168006, 106.2182478066847), (13.535409662602566, 111.89927707406174), (7.128293116095004, 30.291389329936067)]"
31,"(21.188896062856813, 30.59019173595509)","(26.50989394647872, 63.11943292110119)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (54.85109223037537, 36.87156160975621), (62.37078607794142, 33.70968487698473), (41.496451537278816, 36.80367583385231), (20.485365585313858, 39.37510135343005), (16.93, 57.38909131501277), (16.90454212736239, 75.10371972390459), (16.77747650283532, 99.80640668383347), (16.73996696823028, 110.60379414514101), (13.52772591857001, 114.11), (7.128293116095004, 30.291389329936067)]"
32,"(21.57652521715143, 29.16232593144192)","(27.488800843767212, 60.76234040632773)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.517485166730225, 36.8749490914999), (63.3399653469519, 33.71461151546036), (45.612620508264214, 36.82459959591888), (27.35728864256558, 36.96033248147112), (16.93, 51.40053382732364), (16.93, 66.40799751266195), (16.835676425016675, 91.54902430095943), (16.75121474569913, 107.36604105946542), (13.53494577743014, 112.03274346509947), (7.128293116095004, 30.291389329936067)]"
33,"(21.212184016363516, 30.352370569724954)","(27.388277377131665, 62.85841888634537)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.87052697958276, 36.87674371240681), (13.52772591857001, 114.11), (63.384701447991006, 33.71483892292116), (47.737940340669084, 36.83540325505), (34.11964807476579, 36.76617725652239), (16.93, 49.56879423265176), (16.93, 60.471508755567996), (16.88441291484926, 81.10797625639185), (16.770305858630064, 101.87052783720362), (16.73540738846946, 111.9163017477192), (7.128293116095004, 30.291389329936067)]"
34,"(21.420281907352013, 28.97181879331963)","(27.800339130354857, 60.90006309501918)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.875401664404684, 36.87676849193993), (13.535442550680195, 111.88981470429803), (63.39421715217725, 33.7148872941935), (48.34140052296661, 33.63836916391228), (39.18122470281381, 36.79190681859663), (16.93, 48.92202715677658), (16.93, 57.88428516043088), (16.91441493318286, 72.15880278774085), (16.813834175860457, 94.385786410123), (16.743597766566257, 109.55864290985639), (7.128293116095004, 30.291389329936067)]"
35,"(21.91908514362862, 27.867616443870755)","(28.45556972479568, 59.59339944849464)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.876851170419144, 36.87677586022806), (13.53640093496957, 111.61407385304052), (63.39686777276451, 33.71490076811911), (50.91912586555465, 33.65147254040666), (45.4360684919868, 36.82370212732442), (17.19719584869343, 46.84339238095857), (16.93, 56.62290827538965), (16.93, 66.91283348226541), (16.850091802761753, 89.67682711631707), (16.760159903673784, 104.79111344247504), (7.128293116095004, 30.291389329936067)]"
36,"(21.765626909812195, 29.709364317089225)","(28.128245441369984, 62.143196649243286)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.87743766584163, 36.87677884156599), (16.743417230467337, 109.61061151547453), (13.52772591857001, 114.11), (63.39869769934897, 33.71491007020285), (54.87513516778462, 33.671582161259565), (47.50098735706731, 36.83419874962644), (17.96336549616465, 42.979813889107334), (16.93, 54.62570574677568), (16.93, 64.5419870594056), (16.85170072898933, 89.46786782251112), (16.78, 98.93490145031986), (7.128293116095004, 30.291389329936067)]"
37,"(21.787155563226086, 29.083543414515827)","(28.451847973548155, 60.92778206470206)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.87780344756453, 36.876780700947805), (16.758489353545517, 105.27199322939818), (13.535851748503484, 111.77208264485466), (63.39895801821024, 33.714911393484265), (55.59686793955193, 33.6752509525309), (48.31716736898379, 36.83834764547916), (21.245923938102713, 38.922002760279234), (16.93, 50.75499866182178), (16.93, 62.328236338028404), (16.852218027408572, 89.40068369031155), (16.789225405035655, 97.58185052099452), (7.128293116095004, 30.291389329936067)]"
38,"(21.721054162065176, 28.979436824801397)","(28.940495239645216, 60.308355654666)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.877953217556836, 36.87678146227507), (16.75906064524524, 105.10754283297769), (13.537219330616148, 111.37860973415378), (63.39895801821024, 33.714911393484265), (55.85002951171556, 33.67653785123154), (48.361947233139276, 36.838575275401446), (28.261121242460888, 36.836848710707436), (16.93, 49.64047632495905), (16.93, 59.31581643834811), (16.86381266206392, 87.25273737293318), (16.79211237735424, 97.20690499111814), (7.128293116095004, 30.291389329936067)]"
39,"(21.79495659905823, 28.525393225825983)","(29.450169255714762, 59.73267203119729)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.877953217556836, 36.87678146227507), (16.760385891472136, 104.7260612405212), (13.537219330616148, 111.37860973415378), (63.39895801821024, 33.714911393484265), (55.893044849807666, 33.67675651152119), (48.37190604428216, 36.83862589912372), (35.824080458152004, 36.77484141435943), (16.93, 49.21287031367983), (16.93, 57.798073151662024), (16.87942600963767, 82.59549883950679), (16.80435065967067, 95.61745807527164), (7.128293116095004, 30.291389329936067)]"
40,"(21.404987529843897, 30.13780955188987)","(28.906602958528826, 62.35270820358235)","[(7.028986194402348, 76.38664573480894), (7.008961799919304, 73.18664589676403), (63.378973245899225, 36.914911470891326), (55.877953217556836, 36.87678146227507), (16.76517307684599, 103.34803573647591), (16.73721933061615, 111.39472125835148), (13.52772591857001, 114.11), (63.39895801821024, 33.714911393484265), (55.89581971042343, 33.67677061699735), (48.37480577314331, 36.83864063934385), (39.78872133424927, 36.794994912176364), (16.93, 48.90037388115492), (16.93, 56.904287205747536), (16.899487851562466, 76.61133799108204), (16.834568748967634, 91.69288372782853), (7.128293116095004, 30.291389329936067)]"
